msa_id	split	relative_path	tree_path	num_sequences	alignment_length	source_train_msa_id	source_gap_ratio	source_informative_site_ratio	source_gamma_alpha	model	model_without_alpha	best_model	best_model_base	has_G	has_I	has_F	gap_bucket	base_indel_rate	base_indel_size	indel_rate	indel_size	length_bin	override_applied	override_reason	indel_fallback_note	tree_bucket	source_total_tree_length	target_total_tree_length	tree_scale	indels
pandit_like_000008	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000008.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000008/tree/pandit_like_000008.nwk	4	680	5983	0.147794117647	0.0323529411765		LG+F	LG+F		LG	False	False	True	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	3.4850671367	3.4850671367	1.92173273402	0.007,0.007
pandit_like_000012	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000012.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000012/tree/pandit_like_000012.nwk	4	392	3014	0.0031887755102	0.160714285714	0.8929	LG+G4{0.8929}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	2.4514059164	2.4514059164	0.412107941558	0.0035,0.0035
pandit_like_000017	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000017.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000017/tree/pandit_like_000017.nwk	4	640	5939	0.187109375	0.0953125	0.8786	JTT+G4{0.8786}	JTT+G4		JTT	True	False	False	high-gap	0.007	GEO{3},GEO{3}	0.007	GEO{3},GEO{3}	ge300	no	none	planned	source-row-tree	1.2037195018	1.2037195018	0.206033672511	0.007,0.007
pandit_like_000039	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000039.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000039/tree/pandit_like_000039.nwk	4	655	5346	0.119465648855	0.0488549618321	1.7814	JTT+F+G4{1.7814}	JTT+F+G4		JTT	True	False	True	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	4.0255391449	4.0255391449	2.60254290757	0.006,0.006
pandit_like_000047	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000047.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000047/tree/pandit_like_000047.nwk	4	177	4039	0.00564971751412	0.0734463276836	0.6401	LG+G4{0.6401}	LG+G4		LG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	1.8181080799	1.8181080799	0.226330844429	0.0035,0.0035
pandit_like_000056	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000056.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000056/tree/pandit_like_000056.nwk	4	97	5196	0.0309278350515	0.113402061856		LG	LG		LG	False	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0025	GEO{2},GEO{2}	50_99	yes	length_bin:50_99	planned	source-row-tree	2.3904755759	2.3904755759	1.71268430676	0.0025,0.0025
pandit_like_000057	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000057.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000057/tree/pandit_like_000057.nwk	4	655	4958	0.1	0.0152671755725		LG	LG		LG	False	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	ge300	no	none	planned	source-row-tree	2.4121787914	2.4121787914	1.85927479306	0.006,0.006
pandit_like_000059	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000059.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000059/tree/pandit_like_000059.nwk	4	177	3712	0.0776836158192	0.0282485875706	0.8351	LG+G4{0.8351}	LG+G4		LG	True	False	False	mid-gap	0.006	GEO{2},GEO{2}	0.006	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	2.3882661387999997	2.3882661387999997	0.739111046413	0.006,0.006
pandit_like_000062	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000062.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000062/tree/pandit_like_000062.nwk	4	106	3371	0.0188679245283	0.103773584906	0.5528	WAG+G4{0.5528}	WAG+G4		WAG	True	False	False	low-gap	0.0035	GEO{2},GEO{2}	0.0035	GEO{2},GEO{2}	100_299	no	none	planned	source-row-tree	1.718622307	1.718622307	0.321616313511	0.0035,0.0035
pandit_like_000074	synthetic_pandit_like	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/msas/pandit_like_000074.fa	runs/pandit_domain_adaptation/stage5_synthetic_pandit_like_realism_v3_raw_20k/metadata/pandit_like_000074/tree/pandit_like_000074.nwk	4	82	3727	0.0884146341463	0.109756097561		JTT+F	JTT+F		JTT	False	False	True	mid-gap	0.006	GEO{2},GEO{2}	0.0045	GEO{2},GEO{2}	50_99	yes	length_bin:50_99	planned	source-row-tree	3.4642659066	3.4642659066	1.81129958738	0.0045,0.0045
